id,nombre,marca,precio,caracteristicas
36,Monitor Gaming Asus Tuf,Asus,302.99,"Resolución Full HD, Tamaño de 24.5 pulgadas, Frecuencia de actualización de 144Hz"
37,Impresora Multifunción Hp Officejet Pro,Hp,248.99,Impresión
38,Smartphone Samsung Galaxy S21,Samsung,866.99,"Pantalla Dynamic AMOLED de 6.2 pulgadas, Procesador Exynos 2100, Cámara trasera de 64MP"
39,Auriculares Con Cancelación De Ruido Sony Wh-1000xm4,Sony,378.99,"Cancelación de ruido líder en la industria, Autonomía de hasta 30 horas, Control táctil"
40,Teclado Mecánico Corsair K95 Rgb Platinum Xt,Corsair,215.99,"Interruptores Cherry MX Speed, Retroiluminación RGB por tecla, Descanso de muñeca desmontable"
41,Webcam Logitech C920,Logitech,85.99,"Resolución Full HD, Micrófonos estéreo integrados, Enfoque automático"
42,Disco Duro Externo Seagate Backup Plus,Seagate,107.99,"Capacidad de 2TB, Conexión USB 3.0, Compatible con Windows y Mac"
43,Smart Tv Lg Oled,Lg,1624.99,"Resolución 4K, Tamaño de 55 pulgadas, Sistema operativo webOS"
44,Repetidor Wi-fi Netgear Nighthawk,Netgear,139.99,"Velocidad de hasta 1900Mbps, Tecnología Beamforming para mayor alcance, Puerto Ethernet Gigabit"
45,Tarjeta Gráfica Nvidia Geforce Rtx 3070,Nvidia,757.99,"8GB de memoria GDDR6, Arquitectura Ampere de segunda generación, Soporte de trazado de rayos en tiempo real"
46,Altavoces Para Pc Logitech Z623,Logitech,129.99,"Potencia total de 200W RMS, Subwoofer con control de graves, Entrada RCA y auxiliar de 3.5mm"
47,Mouse Inalámbrico Logitech Mx Master 3,Logitech,107.99,"Conexión inalámbrica Bluetooth o receptor USB, Rueda de desplazamiento electromagnética, Botones personalizables"
48,Unidad Ssd Interna Samsung 970 Evo Plus,Samsung,215.99,"Capacidad de 1TB, Velocidad"
49,Router Asus Rt-ac88u,Asus,302.99,"Velocidad de hasta 3100Mbps, Procesador dual-core de 1.4GHz, Tecnología MU-MIMO"
50,Altavoz Inteligente Amazon Echo Dot,Amazon,53.99,"Asistente de voz Alexa integrado, Conexión Wi-Fi y Bluetooth, Control de dispositivos inteligentes"
